feature,importance
V14,0.23987946
V12,0.10950562
V10,0.098669685
V17,0.06426268
V7,0.05883376
V4,0.02672962
V1,0.019717375
V9,0.019471036
V26,0.018886982
V27,0.018538754
V11,0.017508041
V5,0.016712073
V2,0.016475555
V16,0.016272381
V13,0.016016688
V8,0.015929975
V3,0.015900778
V28,0.015897386
amount_log,0.015835568
V6,0.015366827
V25,0.014554364
V20,0.014479884
V21,0.014375017
V15,0.014299018
Time,0.013670824
V19,0.0135679925
Amount,0.013528143
hour_of_day,0.012786063
V18,0.012593263
V24,0.012447278
V22,0.012073257
V23,0.009325945
is_night,0.0058887093
amount_to_mean_ratio,0.0
